ItemID,ItemType,Producer,DurationMinutes
883929318513,1,Francis Ford Coppola,177
786936836745,1,Steven Spielberg,195
24543153788,1,Quentin Tarantino,154
715515159227,1,Frank Darabont,142
883929088386,1,Robert Zemeckis,142
31398282068,1,Christopher Nolan,152
25192339745,1,David Fincher,139
43396519466,1,Christopher Nolan,148
786936847543,1,Martin Scorsese,146
24543230236,1,The Wachowskis,136
715515179225,1,Michael Curtiz,102
883929421831,1,Orson Welles,119
31398296263,1,Alfred Hitchcock,128
25192374746,1,Alfred Hitchcock,109
43396557468,1,Alfred Hitchcock,112
75678852060,1,Billy Wilder,110
602537959761,1,Billy Wilder,121
75679767523,1,Stanley Donen,103
602547658012,1,Stanley Kubrick,149
50087334574,1,Stanley Kubrick,136
75678852077,1,Jonathan Demme,118
602537959778,1,Coen Brothers,122
75679767530,1,Paul Thomas Anderson,158
602547658029,1,Roman Polanski,130
50087334581,1,Victor Fleming,101
886443968929,1,Victor Fleming,238
602557138122,1,David Lean,227
75679903129,1,William Wyler,212
888072087651,1,James Cameron,194
602567060406,1,James Cameron,162
886443968936,2,Michael Jackson,42
602557138139,2,Pink Floyd,43
75679903136,2,Led Zeppelin,42
888072087668,2,Fleetwood Mac,40
602567060413,2,The Beatles,47
886443968943,2,Nirvana,49
602557138146,2,U2,50
75679903143,2,Bruce Springsteen,39
888072087675,2,Prince,44
602567060420,2,Paul Simon,40
886443968950,2,Guns N Roses,53
602557138153,2,U2,55
75679903150,2,Radiohead,53
888072087682,2,Radiohead,42
602567060437,2,Radiohead,48
75678900048,2,Bob Dylan,73
602557400014,2,Bob Dylan,51
50087400002,2,Bob Dylan,51
888072100003,2,Carole King,44
602567100005,2,Marvin Gaye,35
